paper_item,paper_section,public_result_file,generating_command,input_dataset,model,condition,protocol_or_policy,required_compute,expected_runtime,expected_output,expected_metric,tolerance,test_status,notes
Table 1 (representative routing policies),Section 2 (Task and setup),results/aggregate/main_routing_heldout.csv,make reproduce-tables,OmniMath primary held-out split (n=423),gpt-oss-120b,competition_math,Baseline; Tier-majority; frozen LLM router; frozen LLM router with cost prompt; Self-confidence gate; Fixed-order oracle,laptop CPU,< 1 min,results/paper_tables/main_routing_heldout.csv,Baseline 56.3 / gate 78.0 / oracle 92.4 solve percent,exact on point estimates; CI endpoints +/- 0.01 absolute,PER_PROBLEM_VERIFIED,"Primary split is stratified 80/10/10 seed 42. Frozen-LLM rows traced to specific runs: 73.8/71.3k = merged frozen-router run v2 (built from a serial run plus a remaining-ids run, then a 73-problem retry merge; 60 of 423 problems still ended in fallback); 78.3/88.6k = the numeric-cost few-shot run. Per-problem predictions exist for both. Derives from the earlier OmniMath scoring pass; see docs/provenance/."
Table 2 (failure score on increasingly specific targets),Section 4 (Mechanism),results/aggregate/failure_and_protocol_value_targets.csv,make reproduce-tables,OmniMath and LAB-Bench (6 settings),gpt-oss-120b and Gemma-4-31B-it,competition_math / llm_strict / text_no_tool,post-answer confidence score vs 4 targets,laptop CPU,< 2 min,results/paper_tables/failure_and_protocol_value_targets.csv,gpt-oss OmniMath: Baseline-failure AUROC 0.8847 AUPRC 0.8950; any-collaboration AUPRC 0.7683; PER AUPRC 0.1674; Broadcast-only AUPRC 0.1041,exact on AUROC/AUPRC to 4 dp,PER_PROBLEM_VERIFIED,This is the title claim. Reproduced by the release lead from raw per-problem probe predictions.
Table 3 (matched solve and coverage),Section 4 (Mechanism),results/aggregate/matched_protocol_coverage.csv,make reproduce-tables,all 4 benchmarks / 5 conditions (10 settings),gpt-oss-120b and Gemma-4-31B-it,all five prompt conditions,Baseline; Single; PER; Broadcast; fixed-order oracle,laptop CPU,< 1 min,results/paper_tables/matched_protocol_coverage.csv,40 solve-rate cells + 10 oracle-coverage cells,exact to 2 dp,PER_PROBLEM_VERIFIED,All 10 settings reproduce exactly from released per-problem matched labels with the oracle recomputed from scratch.
Figure 1 (oracle labels by tier; extra cost vs extra gain),Section 2 (Task and setup),docs/assets/figures/fig1_main_combined.png,make reproduce-figures,OmniMath primary split,gpt-oss-120b,competition_math,fixed-order oracle,laptop CPU,< 2 min,results/figures/fig1_main_combined.png,fractions sum to 1 within each tier,visual + underlying CSV exact,AGGREGATE_ONLY,Panel (a) oracle labels by difficulty tier; panel (b) extra cost against extra solve gain.
Figure 2 (matched benchmarks breadth),Section 4 (Mechanism),docs/assets/figures/fig2_matched_benchmarks.png,make reproduce-figures,all 10 settings,gpt-oss-120b and Gemma-4-31B-it,all five prompt conditions,four protocols + oracle,laptop CPU,< 2 min,results/figures/fig2_matched_benchmarks.png,matches matched_protocol_coverage.csv,underlying values exact to 2 dp,PER_PROBLEM_VERIFIED,Protocol hue with value-dependent tint across the 10 paired settings.
Post-answer confidence metrics,Appendix (additional analyses),results/aggregate/postanswer_confidence.csv,make reproduce-tables,OmniMath and LAB-Bench (6 settings),gpt-oss-120b and Gemma-4-31B-it,competition_math / llm_strict / text_no_tool,post-answer probe,laptop CPU,< 3 min,results/paper_tables/postanswer_confidence.csv,parse rates; failure AUROC; ECE; Brier; mean confidence when correct vs wrong,point estimates exact to 4 dp; bootstrap CI endpoints +/- 0.002,PER_PROBLEM_VERIFIED,"Headline: 4151 parseable of 4181, AUROC 0.8847, 95% CI [0.8732, 0.8955]."
Held-out router evaluation,Appendix (additional analyses),results/aggregate/heldout_router_evaluation.csv,make reproduce-tables,OmniMath and LAB-Bench (6 settings),gpt-oss-120b and Gemma-4-31B-it,competition_math / llm_strict / text_no_tool,Baseline; text+metadata router; Tier-majority; fixed-order oracle,laptop CPU,< 5 min,results/paper_tables/heldout_router_evaluation.csv,n; baseline/router/oracle solve; oracle gap; oracle-label macro F1; route distribution,exact to 4 dp on solve rates,PER_PROBLEM_VERIFIED,"Stratified 70/15/15 by oracle label, seed 20260712, hyperparameters on dev only then refit on train+dev. All routers scored on identical held-out problem ids (verified)."
Paired router differences,Appendix (additional analyses),results/aggregate/heldout_router_paired_differences.csv,make reproduce-tables,OmniMath and LAB-Bench (6 settings),gpt-oss-120b and Gemma-4-31B-it,competition_math / llm_strict / text_no_tool,router minus Tier-majority; router minus Baseline,laptop CPU,< 5 min,results/paper_tables/heldout_router_paired_differences.csv,paired deltas in percentage points with 95% CIs,point estimates exact to 0.1 pp; CI endpoints +/- 0.5 pp,PER_PROBLEM_VERIFIED,2000-resample paired problem-level bootstrap.
PER vs Broadcast interaction,Appendix (additional analyses),results/aggregate/per_broadcast_interaction.csv,python scripts/analyze_protocol_interactions.py,OmniMath and LAB-Bench (6 settings),gpt-oss-120b and Gemma-4-31B-it,competition_math / llm_strict / text_no_tool,PER vs Broadcast conditional on Baseline and Single both failing,laptop CPU,< 2 min,results/paper_tables/per_broadcast_interaction.csv,PER and Broadcast solve rates; Broadcast-minus-PER gap with CI; PER-only / Broadcast-only / both / neither counts,exact on counts; gap +/- 0.05 pp,PER_PROBLEM_VERIFIED,The published table is the both-failed conditional subset. The source also carries all / baseline-failed / confidence-gate subsets.
Oracle label distribution,Appendix (additional analyses),results/aggregate/oracle_label_distribution.csv,make reproduce-tables,all 10 settings,gpt-oss-120b and Gemma-4-31B-it,all five prompt conditions,fixed-order oracle,laptop CPU,< 1 min,results/paper_tables/oracle_label_distribution.csv,Baseline / Single / PER / Broadcast / None percentages per setting,exact to 2 dp,PER_PROBLEM_VERIFIED,Recomputed from matched labels in the fixed order.
